Window,Tempo
0,0.03483538167525379
1,0.03516661486741059
2,0.035501912319877656
3,0.0358412606901314
4,0.03618464144155633
5,0.03653204206368452
6,0.036883452807804334
7,0.0372389139686733
8,0.03759856775839248
9,0.03796267279705784
10,0.038331495792797855
11,0.038705153110131896
12,0.039083650790219075
13,0.039466976228881595
14,0.03985512117698691
15,0.040248076795264466
16,0.04064582917135804
17,0.04104836627149949
18,0.04145567848322617
19,0.04186775483238025
20,0.0422845786002378
21,0.0427061265635278
22,0.04313237129506803
23,0.04356328922928801
24,0.04399885972024888
25,0.04443905869600123
26,0.04488386351848336
27,0.045333257954102646
28,0.04578721954958038
29,0.04624571772824251
30,0.046708721684005326
31,0.04717620372912321
32,0.04764813104181178
33,0.04812449513665525
34,0.04860551791641112
35,0.04909156586824325
36,0.049582796562302654
37,0.0500791854915718
38,0.05058067584041461
39,0.05108720460361451
40,0.05159871323853544
41,0.05211515137971972
42,0.05263648494208947
43,0.053162687617658126
44,0.05369395722451065
45,0.054230569342563935
46,0.05477255815352791
47,0.05531985787636965
48,0.05587239511620568
49,0.05643009184772002
50,0.056992863355164895
51,0.05756062056475969
52,0.058133265887976515
53,0.0587107005532247
54,0.05929281802313219
55,0.05987950308763385
56,0.060470731934715104
57,0.06106658178666471
58,0.06166706217240151
59,0.062272077400143455
60,0.06288171852401174
61,0.06349622126870688
62,0.06411560075052854
63,0.06473970512880657
64,0.06536837067756564
65,0.06600143454804254
66,0.06663871866581315
67,0.06728003560491884
68,0.06792520265368085
69,0.06857403720821734
70,0.06922634904593895
71,0.06988192861178176
72,0.070540543934538
73,0.07120196239516693
74,0.07186604829463002
75,0.07253272774820153
76,0.07320184473560991
77,0.07387331172691988
78,0.07454719451548004
79,0.07522341544549106
80,0.07590169742756848
81,0.07658172902946624
82,0.07726318260250763
83,0.07794574707849045
84,0.07862917211562731
85,0.07931324726117667
86,0.07999785930154045
87,0.08068290012664257
88,0.08136809620955372
89,0.08205307451242128
90,0.08273743882358253
91,0.08342079338957437
92,0.08410273584928496
93,0.08478290361818519
94,0.08546099761170621
95,0.08613671711524672
96,0.08680987201107891
97,0.0874803010100152
98,0.08814764286251653
99,0.08881144623357089
100,0.0894712759856296
101,0.09012668997679056
102,0.09077722256896997
103,0.09142244626502483
104,0.09206196545363515
105,0.09269535451944222
106,0.09332216980404656
107,0.09394197148358456
108,0.09455434660071399
109,0.09515893261708198
110,0.0957553895613875
111,0.09634372337756887
112,0.09692419463378917
113,0.09749668018081449
114,0.09806075799642738
115,0.0986159983466761
116,0.09916202088723357
117,0.09969847160020334
118,0.10022498552415515
119,0.10074125432448781
120,0.10124707021132294
121,0.1017426546561755
122,0.10222830123990313
123,0.10270384560655865
124,0.10316897610277335
125,0.10362338775866141
126,0.10406679040778981
127,0.10449891161195075
128,0.1049194874997539
129,0.10532828602823081
130,0.10572510654699946
131,0.10610974477533214
132,0.1064820005211932
133,0.10684168526374875
134,0.10718862998398204
135,0.10752270707327227
136,0.10784389142954383
137,0.10815230732063068
138,0.10844848157090793
139,0.10873290078506563
140,0.10900559592689803
141,0.10926651753334292
142,0.10951563042797141
143,0.1097529325618012
144,0.10997855861053624
145,0.11019276929019667
146,0.1103958384264318
147,0.1105883375866396
148,0.11077090572054626
149,0.110943811231482
150,0.11110716624203482
